student_id,origin_country,destination_country,destination_city,university_name,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_status,placement_country,placement_company,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score
S00283,Russia,Finland,Turku,Ã…bo Akademi University,Architecture,Business,2022,Yes,Higher Ranking,2025,Not Placed,N/A,N/A,0,3.19,Tier 4,Blue Card,IELTS,8.3
S00284,USA,India,Delhi,IIT Delhi,Medicine,Natural Sciences,2022,No,Political Stability,2024,Not Placed,N/A,N/A,0,3.08,Student Visa,PSW,None,0
S00285,India,South Africa,Johannesburg,University of the Witwatersrand,Design,Engineering,2019,Yes,Political Stability,2020,Not Placed,N/A,N/A,0,3.46,F1,Blue Card,PTE,7.3
S00286,India,Russia,Saint Petersburg,Saint Petersburg State University,Business Administration,Computer Science,2019,No,Scholarship,2021,Not Placed,N/A,N/A,0,3.68,J1,Blue Card,IELTS,5.4
S00287,India,Germany,Munich,LMU Munich,Civil Engineering,Arts,2021,Yes,Scholarship,2024,Not Placed,N/A,N/A,0,2.87,Schengen Student Visa,OPT,TOEFL,5.6
S00288,Finland,Canada,Ottawa,University of Ottawa,Civil Engineering,Business,2022,Yes,Higher Ranking,2023,Not Placed,N/A,N/A,0,4,J1,PSW,Duolingo,8.6
S00289,UAE,Canada,Montreal,McGill University,Psychology,Computer Science,2021,Yes,Quality of Life,2022,Not Placed,N/A,N/A,0,2.73,F1,Post-Study Visa,TOEFL,6.7
S00290,Ireland,South Africa,Johannesburg,University of Johannesburg,Political Science,Engineering,2023,No,Job Opportunities,2025,Not Placed,N/A,N/A,0,3.87,Study Permit,PSW,IELTS,8.5
S00291,Germany,UK,London,Imperial College London,Medicine,Natural Sciences,2023,No,Political Stability,2024,Placed,UK,IBM,77867,3.51,Schengen Student Visa,OPT,PTE,7.2
S00292,UAE,UK,London,UCL,Civil Engineering,Natural Sciences,2020,Yes,Quality of Life,2022,Not Placed,N/A,N/A,0,3.14,Tier 4,PSW,None,0
S00293,India,Germany,Heidelberg,Heidelberg University,Computer Science,Social Sciences,2021,Yes,Political Stability,2023,Not Placed,N/A,N/A,0,3.87,J1,Work Permit,Duolingo,7.6
S00294,UK,Germany,Aachen,RWTH Aachen,Psychology,Medicine,2021,No,Job Opportunities,2024,Not Placed,N/A,N/A,0,2.55,Study Permit,OPT,PTE,5.5
S00295,Ireland,South Africa,Johannesburg,University of the Witwatersrand,Political Science,Computer Science,2020,Yes,Political Stability,2022,Not Placed,N/A,N/A,0,3.22,Tier 4,Post-Study Visa,PTE,8.7
S00296,Ireland,UK,Cambridge,University of Cambridge,Computer Science,Medicine,2021,Yes,Job Opportunities,2023,Not Placed,N/A,N/A,0,2.62,Tier 4,Blue Card,Duolingo,6.1
S00297,South Africa,Russia,Novosibirsk,Novosibirsk State University,Design,Business,2019,No,Higher Ranking,2021,Placed,Russia,Amazon,51963,3.57,Student Visa,Post-Study Visa,None,0
S00298,UAE,Finland,Joensuu,University of Eastern Finland,Psychology,Computer Science,2019,Yes,Scholarship,2020,Placed,Finland,Facebook,146369,2.95,Study Permit,Post-Study Visa,None,0
S00299,Finland,Germany,Berlin,TU Berlin,Economics,Law,2019,Yes,Political Stability,2020,Not Placed,N/A,N/A,0,3.57,F1,Post-Study Visa,None,0
S00300,Germany,Canada,Ottawa,University of Ottawa,Political Science,Arts,2020,No,Higher Ranking,2023,Not Placed,N/A,N/A,0,2.68,Student Visa,PSW,IELTS,8.8
S00301,Germany,India,Delhi,Delhi University,Medicine,Medicine,2020,No,Scholarship,2021,Not Placed,N/A,N/A,0,3.43,F1,Post-Study Visa,Duolingo,8.1
S00302,Ireland,South Africa,Grahamstown,Rhodes University,Psychology,Medicine,2019,No,Job Opportunities,2021,Not Placed,N/A,N/A,0,3.23,Student Visa,PSW,None,0
S00303,India,Germany,Heidelberg,Heidelberg University,Mechanical Engineering,Social Sciences,2023,Yes,Quality of Life,2026,Not Placed,N/A,N/A,0,3.8,F1,Blue Card,IELTS,7.7
S00304,USA,Russia,Moscow,Moscow Institute of Physics and Technology,Electrical Engineering,Medicine,2022,Yes,Scholarship,2024,Not Placed,N/A,N/A,0,3.97,J1,Work Permit,IELTS,8.9
S00305,India,UAE,Sharjah,American University of Sharjah,Design,Law,2023,Yes,Quality of Life,2024,Placed,UAE,Siemens,107536,3.93,J1,OPT,TOEFL,8.7
S00306,South Africa,Finland,Espoo,Aalto University,Biotechnology,Engineering,2022,No,Quality of Life,2023,Placed,Finland,Facebook,46924,2.5,Student Visa,Work Permit,None,0
S00307,South Africa,Canada,Vancouver,University of British Columbia,Political Science,Arts,2023,No,Political Stability,2025,Placed,Canada,McKinsey,72642,3.83,J1,Post-Study Visa,IELTS,5.5
S00308,South Africa,UAE,Abu Dhabi,Khalifa University,Data Science,Business,2019,Yes,Scholarship,2022,Placed,UAE,IBM,67161,2.71,F1,OPT,Duolingo,5.7
S00309,Russia,UAE,Dubai,University of Dubai,Electrical Engineering,Computer Science,2021,Yes,Political Stability,2022,Not Placed,N/A,N/A,0,3.82,Tier 4,Blue Card,PTE,7.2
S00310,India,Finland,Turku,University of Turku,Law,Arts,2020,Yes,Higher Ranking,2022,Not Placed,N/A,N/A,0,3.13,Study Permit,PSW,IELTS,8
S00311,Russia,Ireland,Dublin,Dublin City University,Civil Engineering,Natural Sciences,2022,No,Quality of Life,2024,Placed,Ireland,Tesla,87261,2.77,Student Visa,PSW,Duolingo,8.4
S00312,India,Russia,Moscow,Moscow Institute of Physics and Technology,Civil Engineering,Engineering,2019,Yes,Job Opportunities,2020,Not Placed,N/A,N/A,0,3.33,Study Permit,Post-Study Visa,IELTS,7.5
S00313,Ireland,UAE,Dubai,Manipal Academy Dubai,Design,Engineering,2019,No,Job Opportunities,2020,Placed,UAE,Tesla,59500,2.71,Student Visa,Blue Card,IELTS,8.2
S00314,Ireland,India,Pilani,BITS Pilani,Data Science,Arts,2021,Yes,Job Opportunities,2022,Placed,India,McKinsey,46198,3.15,F1,Post-Study Visa,Duolingo,5.5
S00315,Finland,UAE,Sharjah,American University of Sharjah,Finance,Business,2023,No,Scholarship,2025,Placed,UAE,Microsoft,52719,3.98,Schengen Student Visa,Blue Card,Duolingo,8.3
S00316,Ireland,UK,London,UCL,Electrical Engineering,Law,2021,Yes,Scholarship,2023,Placed,UK,IBM,52361,3.08,Study Permit,Work Permit,IELTS,6.5
S00317,Canada,Germany,Berlin,TU Berlin,Data Science,Engineering,2020,No,Higher Ranking,2022,Placed,Germany,Intel,134632,3.27,Schengen Student Visa,OPT,PTE,8.9
S00318,UAE,India,Delhi,JNU Delhi,Architecture,Engineering,2022,Yes,Higher Ranking,2025,Not Placed,N/A,N/A,0,3.99,Schengen Student Visa,Work Permit,Duolingo,7.4
S00319,South Africa,India,Delhi,Delhi University,Electrical Engineering,Computer Science,2022,No,Scholarship,2025,Not Placed,N/A,N/A,0,2.76,Tier 4,Work Permit,Duolingo,7.3
S00320,Canada,USA,Los Angeles,UCLA,Design,Computer Science,2021,No,Scholarship,2023,Not Placed,N/A,N/A,0,2.86,Schengen Student Visa,Blue Card,TOEFL,5.5
S00321,Finland,Germany,Berlin,TU Berlin,Electrical Engineering,Natural Sciences,2019,Yes,Political Stability,2021,Not Placed,N/A,N/A,0,2.7,F1,Post-Study Visa,PTE,5.2
S00322,UK,UAE,Abu Dhabi,Zayed University,Psychology,Social Sciences,2019,No,Higher Ranking,2022,Not Placed,N/A,N/A,0,2.99,Student Visa,OPT,PTE,6.2
S00323,Russia,UK,Oxford,University of Oxford,Finance,Natural Sciences,2020,No,Higher Ranking,2021,Placed,UK,McKinsey,77026,2.6,J1,Blue Card,Duolingo,6.7
S00324,UAE,India,Delhi,IIT Delhi,Medicine,Medicine,2020,No,Quality of Life,2023,Placed,India,Microsoft,128933,3.01,Student Visa,PSW,Duolingo,5.1
S00325,UK,Germany,Stuttgart,University of Stuttgart,Biotechnology,Arts,2020,Yes,Higher Ranking,2021,Not Placed,N/A,N/A,0,3.27,Schengen Student Visa,Blue Card,TOEFL,5.2
S00326,USA,Ireland,Cork,University College Cork,Electrical Engineering,Law,2023,Yes,Political Stability,2024,Not Placed,N/A,N/A,0,2.97,Study Permit,OPT,Duolingo,5.1
S00327,Germany,South Africa,Johannesburg,University of the Witwatersrand,Political Science,Computer Science,2023,No,Job Opportunities,2026,Placed,South Africa,McKinsey,120286,2.51,Schengen Student Visa,Blue Card,IELTS,6.6
S00328,Russia,Finland,Turku,Ã…bo Akademi University,Architecture,Business,2022,Yes,Job Opportunities,2023,Placed,Finland,McKinsey,61520,3.96,Study Permit,Work Permit,None,0
S00329,Russia,Canada,Ottawa,University of Ottawa,Computer Science,Law,2022,No,Higher Ranking,2024,Not Placed,N/A,N/A,0,3.53,Study Permit,Blue Card,TOEFL,5.5
S00330,UAE,Finland,Tampere,Tampere University,Architecture,Law,2022,Yes,Scholarship,2023,Placed,Finland,McKinsey,121413,3.33,Tier 4,Blue Card,TOEFL,5.5
S00331,UAE,UK,London,King's College London,Psychology,Law,2021,No,Political Stability,2023,Not Placed,N/A,N/A,0,3.16,Schengen Student Visa,Work Permit,None,0
S00332,Canada,Germany,Stuttgart,University of Stuttgart,Design,Social Sciences,2019,No,Political Stability,2022,Placed,Germany,IBM,33840,3.59,Tier 4,PSW,None,0
S00333,Russia,UK,Manchester,University of Manchester,Data Science,Computer Science,2023,No,Higher Ranking,2025,Not Placed,N/A,N/A,0,2.98,Study Permit,PSW,TOEFL,7.5
S00334,UAE,USA,Boston,Harvard University,Data Science,Natural Sciences,2022,Yes,Job Opportunities,2023,Placed,USA,IBM,136625,3.68,Study Permit,Blue Card,IELTS,5.1
S00335,South Africa,Ireland,Dublin,University College Dublin,Electrical Engineering,Social Sciences,2019,Yes,Political Stability,2021,Placed,Ireland,Apple,78608,2.64,F1,PSW,None,0
S00336,USA,UK,London,UCL,Design,Social Sciences,2019,No,Scholarship,2021,Placed,UK,Intel,92759,3.63,Study Permit,Blue Card,IELTS,7.8
S00337,Russia,UAE,Abu Dhabi,Khalifa University,Economics,Business,2021,No,Political Stability,2024,Placed,UAE,Google,66917,3.97,Schengen Student Visa,PSW,IELTS,5.2
S00338,India,Canada,Edmonton,University of Alberta,Mechanical Engineering,Social Sciences,2019,No,Higher Ranking,2022,Not Placed,N/A,N/A,0,3.85,J1,PSW,IELTS,5.8
S00339,USA,Finland,Tampere,Tampere University,Architecture,Natural Sciences,2020,No,Job Opportunities,2021,Not Placed,N/A,N/A,0,2.84,Study Permit,OPT,Duolingo,5.6
S00340,UAE,UK,London,King's College London,Finance,Business,2019,Yes,Political Stability,2022,Not Placed,N/A,N/A,0,3.28,J1,PSW,Duolingo,6.5
S00341,South Africa,India,Delhi,JNU Delhi,Psychology,Computer Science,2020,Yes,Quality of Life,2023,Not Placed,N/A,N/A,0,3,J1,Post-Study Visa,Duolingo,5.8
S00342,India,Russia,Moscow,Moscow Institute of Physics and Technology,Business Administration,Natural Sciences,2021,Yes,Job Opportunities,2023,Placed,Russia,McKinsey,129891,3.08,Study Permit,Work Permit,TOEFL,7
S00343,Finland,Germany,Aachen,RWTH Aachen,Mechanical Engineering,Engineering,2020,No,Job Opportunities,2022,Placed,Germany,Google,62897,2.96,Tier 4,Blue Card,Duolingo,5.7
S00344,Germany,UAE,Dubai,Manipal Academy Dubai,Design,Business,2020,No,Scholarship,2023,Not Placed,N/A,N/A,0,2.8,Student Visa,Post-Study Visa,TOEFL,7.6
S00345,UAE,South Africa,Johannesburg,University of Johannesburg,Electrical Engineering,Computer Science,2023,No,Political Stability,2026,Not Placed,N/A,N/A,0,3.4,Study Permit,Blue Card,PTE,6
S00346,USA,UAE,Dubai,University of Dubai,Architecture,Social Sciences,2019,Yes,Quality of Life,2021,Not Placed,N/A,N/A,0,3.3,Schengen Student Visa,Work Permit,TOEFL,7.5
S00347,USA,Ireland,Dublin,Technological University Dublin,Civil Engineering,Arts,2022,No,Political Stability,2023,Not Placed,N/A,N/A,0,2.97,Tier 4,PSW,Duolingo,9
S00348,India,UAE,Dubai,Heriot-Watt Dubai,Architecture,Business,2023,Yes,Scholarship,2025,Placed,UAE,Deloitte,36993,3.7,F1,PSW,Duolingo,8.1
S00349,Ireland,India,Pilani,BITS Pilani,Biotechnology,Social Sciences,2023,Yes,Scholarship,2026,Placed,India,Tesla,85032,2.59,J1,Post-Study Visa,PTE,5.2
S00350,UK,Ireland,Dublin,University College Dublin,Design,Computer Science,2019,No,Political Stability,2021,Not Placed,N/A,N/A,0,3.56,F1,Post-Study Visa,None,0
S00351,Russia,India,Bangalore,IISc Bangalore,Electrical Engineering,Social Sciences,2023,Yes,Scholarship,2026,Not Placed,N/A,N/A,0,3.76,F1,Blue Card,Duolingo,7.9
S00352,Finland,UK,Oxford,University of Oxford,Mechanical Engineering,Engineering,2020,No,Job Opportunities,2021,Not Placed,N/A,N/A,0,2.58,J1,Post-Study Visa,PTE,6.6
S00353,UAE,India,Tiruchirappalli,NIT Trichy,Design,Arts,2020,No,Higher Ranking,2021,Placed,India,Apple,80143,3.87,Student Visa,PSW,PTE,8.4
S00354,India,Germany,Munich,Technical University of Munich,Political Science,Law,2020,No,Scholarship,2021,Placed,Germany,Siemens,129922,2.98,Schengen Student Visa,PSW,TOEFL,7.8
S00355,USA,Ireland,Cork,University College Cork,Law,Computer Science,2020,No,Scholarship,2021,Not Placed,N/A,N/A,0,3.68,Schengen Student Visa,Blue Card,TOEFL,6.9
S00356,Germany,UK,Birmingham,University of Birmingham,Law,Medicine,2022,Yes,Quality of Life,2024,Placed,UK,Deloitte,83326,2.8,Student Visa,OPT,Duolingo,8.3
S00357,India,South Africa,Durban,University of KwaZulu-Natal,Architecture,Social Sciences,2022,Yes,Quality of Life,2024,Placed,South Africa,McKinsey,96722,2.68,Schengen Student Visa,Work Permit,Duolingo,8.3
S00358,USA,UK,Oxford,University of Oxford,Economics,Business,2023,No,Scholarship,2026,Not Placed,N/A,N/A,0,3.73,F1,Post-Study Visa,IELTS,8.6
S00359,Ireland,South Africa,Cape Town,University of Cape Town,Economics,Law,2020,Yes,Higher Ranking,2022,Not Placed,N/A,N/A,0,2.97,Study Permit,PSW,IELTS,6.3
S00360,UK,Ireland,Dublin,Technological University Dublin,Biotechnology,Business,2019,Yes,Quality of Life,2020,Placed,Ireland,Amazon,142424,3.29,Student Visa,OPT,Duolingo,5.4
S00361,UK,UAE,Dubai,University of Dubai,Electrical Engineering,Arts,2019,Yes,Job Opportunities,2021,Placed,UAE,McKinsey,95280,3.08,F1,OPT,IELTS,7.2
S00362,UAE,Germany,Munich,Technical University of Munich,Computer Science,Medicine,2020,Yes,Job Opportunities,2021,Not Placed,N/A,N/A,0,3.16,J1,Blue Card,None,0
S00363,South Africa,India,Tiruchirappalli,NIT Trichy,Data Science,Computer Science,2023,Yes,Scholarship,2024,Not Placed,N/A,N/A,0,3.76,J1,Blue Card,PTE,6.3
S00364,South Africa,Finland,Tampere,Tampere University,Biotechnology,Medicine,2019,Yes,Higher Ranking,2022,Not Placed,N/A,N/A,0,3.03,F1,Work Permit,PTE,5.3
S00365,South Africa,Ireland,Dublin,University College Dublin,Economics,Social Sciences,2023,Yes,Job Opportunities,2025,Not Placed,N/A,N/A,0,3.4,J1,Post-Study Visa,Duolingo,5.5
S00366,Ireland,UAE,Sharjah,American University of Sharjah,Economics,Computer Science,2021,Yes,Political Stability,2022,Placed,UAE,McKinsey,39871,3.63,F1,Blue Card,TOEFL,8.1
S00367,South Africa,USA,Boston,Harvard University,Medicine,Computer Science,2023,No,Higher Ranking,2026,Not Placed,N/A,N/A,0,3.6,F1,OPT,IELTS,7.3
S00368,USA,Canada,Edmonton,University of Alberta,Law,Medicine,2019,No,Quality of Life,2020,Placed,Canada,Tesla,52885,2.59,Student Visa,PSW,TOEFL,5.4
S00369,Ireland,Russia,Kazan,Kazan Federal University,Biotechnology,Social Sciences,2020,Yes,Higher Ranking,2021,Placed,Russia,SAP,52838,2.8,Tier 4,Work Permit,TOEFL,5.5
S00370,Germany,UAE,Abu Dhabi,Khalifa University,Architecture,Engineering,2021,No,Quality of Life,2022,Placed,UAE,Siemens,43159,3.9,Student Visa,Post-Study Visa,TOEFL,6.5
S00371,Ireland,Canada,Edmonton,University of Alberta,Finance,Natural Sciences,2020,Yes,Higher Ranking,2023,Not Placed,N/A,N/A,0,3.21,Study Permit,OPT,None,0
S00372,India,Ireland,Galway,National University of Ireland Galway,Law,Business,2020,Yes,Quality of Life,2022,Placed,Ireland,Siemens,146855,3.05,Schengen Student Visa,OPT,IELTS,7.9
S00373,Germany,UK,London,Imperial College London,Computer Science,Natural Sciences,2019,No,Political Stability,2022,Not Placed,N/A,N/A,0,3.36,F1,PSW,PTE,8.4
S00374,Ireland,Russia,Moscow,Higher School of Economics,Medicine,Computer Science,2022,Yes,Scholarship,2025,Placed,Russia,McKinsey,36259,3.33,Schengen Student Visa,Post-Study Visa,IELTS,6.5
S00375,Russia,Canada,London,Western University,Architecture,Medicine,2021,Yes,Quality of Life,2023,Not Placed,N/A,N/A,0,3.39,J1,PSW,IELTS,5.1
S00376,Russia,UK,Manchester,University of Manchester,Political Science,Computer Science,2021,Yes,Scholarship,2022,Not Placed,N/A,N/A,0,3.91,Student Visa,Work Permit,IELTS,5.2
S00377,UK,USA,Chicago,University of Chicago,Design,Business,2021,No,Scholarship,2024,Not Placed,N/A,N/A,0,2.9,Schengen Student Visa,OPT,TOEFL,8.5
S00378,Ireland,Finland,Lappeenranta,LUT University,Data Science,Law,2023,No,Higher Ranking,2026,Placed,Finland,Microsoft,138461,2.95,J1,PSW,None,0
S00379,Ireland,Finland,Helsinki,University of Helsinki,Design,Medicine,2021,Yes,Higher Ranking,2023,Placed,Finland,IBM,149426,2.52,Schengen Student Visa,Work Permit,TOEFL,5.7
S00380,UAE,UK,London,King's College London,Medicine,Arts,2019,No,Political Stability,2022,Not Placed,N/A,N/A,0,3.74,Tier 4,OPT,Duolingo,5.1
S00381,Canada,Ireland,Dublin,University College Dublin,Mechanical Engineering,Medicine,2021,No,Scholarship,2024,Placed,Ireland,Tesla,118410,2.9,Study Permit,PSW,TOEFL,7.9
S00382,India,USA,Los Angeles,UCLA,Mechanical Engineering,Social Sciences,2022,No,Higher Ranking,2023,Not Placed,N/A,N/A,0,2.7,J1,PSW,IELTS,8.8
S00383,South Africa,Russia,Moscow,Lomonosov Moscow State University,Medicine,Arts,2020,Yes,Political Stability,2023,Placed,Russia,Apple,133722,3.26,Study Permit,Post-Study Visa,Duolingo,7.9
S00384,India,USA,Los Angeles,UCLA,Civil Engineering,Engineering,2021,Yes,Scholarship,2022,Not Placed,N/A,N/A,0,3.5,Study Permit,OPT,Duolingo,7.6
S00385,UAE,India,Tiruchirappalli,NIT Trichy,Economics,Business,2020,No,Job Opportunities,2023,Placed,India,Tesla,130301,2.74,F1,OPT,PTE,8.9
S00386,Finland,USA,New York,Columbia University,Finance,Medicine,2021,No,Job Opportunities,2023,Not Placed,N/A,N/A,0,2.55,Tier 4,Blue Card,Duolingo,8.4
S00387,UAE,Finland,Lappeenranta,LUT University,Design,Law,2021,No,Job Opportunities,2024,Placed,Finland,IBM,87233,3.28,F1,Work Permit,PTE,5.8
S00388,Germany,Russia,Saint Petersburg,Saint Petersburg State University,Mechanical Engineering,Arts,2022,Yes,Scholarship,2024,Not Placed,N/A,N/A,0,3.35,Study Permit,OPT,PTE,6.2
S00389,Russia,India,Bangalore,IISc Bangalore,Electrical Engineering,Medicine,2022,No,Political Stability,2024,Not Placed,N/A,N/A,0,3.57,Tier 4,Post-Study Visa,TOEFL,9
S00390,Finland,South Africa,Stellenbosch,Stellenbosch University,Economics,Engineering,2021,No,Political Stability,2024,Placed,South Africa,Google,39600,3.78,J1,Blue Card,PTE,6.2
S00391,USA,Ireland,Dublin,Dublin City University,Mechanical Engineering,Natural Sciences,2020,Yes,Quality of Life,2023,Placed,Ireland,SAP,63670,3.28,J1,Work Permit,PTE,6.9
S00392,Russia,Germany,Berlin,Humboldt University,Data Science,Engineering,2022,Yes,Higher Ranking,2024,Placed,Germany,SAP,88028,3.2,Schengen Student Visa,OPT,TOEFL,5.8
S00393,Russia,Finland,Lappeenranta,LUT University,Medicine,Engineering,2021,No,Scholarship,2024,Placed,Finland,Goldman Sachs,72209,3.55,Tier 4,PSW,Duolingo,8.1
S00394,Ireland,USA,Los Angeles,UCLA,Political Science,Natural Sciences,2019,Yes,Quality of Life,2021,Not Placed,N/A,N/A,0,4,Schengen Student Visa,OPT,IELTS,7.1
S00395,South Africa,UK,London,Imperial College London,Business Administration,Engineering,2023,Yes,Political Stability,2024,Not Placed,N/A,N/A,0,3.87,Student Visa,Blue Card,Duolingo,5
S00396,Ireland,USA,San Francisco,UC Berkeley,Psychology,Arts,2019,No,Scholarship,2022,Placed,USA,Apple,141761,3.3,Schengen Student Visa,Post-Study Visa,TOEFL,5.4
S00397,Russia,South Africa,Durban,University of KwaZulu-Natal,Mechanical Engineering,Medicine,2021,Yes,Political Stability,2023,Not Placed,N/A,N/A,0,3.37,Schengen Student Visa,Work Permit,None,0
S00398,Finland,Germany,Munich,LMU Munich,Architecture,Arts,2020,Yes,Scholarship,2021,Placed,Germany,Google,148127,3.42,F1,Blue Card,TOEFL,7.9
S00399,India,Ireland,Galway,National University of Ireland Galway,Design,Business,2020,Yes,Scholarship,2021,Not Placed,N/A,N/A,0,2.59,J1,Blue Card,PTE,5.3
S00400,Germany,South Africa,Durban,University of KwaZulu-Natal,Finance,Social Sciences,2019,Yes,Political Stability,2022,Not Placed,N/A,N/A,0,3.68,F1,Blue Card,PTE,6.9
S00401,UK,Germany,Berlin,Humboldt University,Mechanical Engineering,Engineering,2021,Yes,Higher Ranking,2022,Placed,Germany,IBM,41890,2.9,Study Permit,OPT,None,0
S00402,USA,Germany,Munich,LMU Munich,Finance,Law,2022,No,Political Stability,2025,Placed,Germany,Amazon,72811,2.96,J1,Post-Study Visa,IELTS,5.8
S00403,Ireland,Russia,Moscow,Lomonosov Moscow State University,Design,Natural Sciences,2020,No,Quality of Life,2023,Not Placed,N/A,N/A,0,3.98,F1,Post-Study Visa,PTE,7.5
S00404,Germany,Finland,Joensuu,University of Eastern Finland,Biotechnology,Medicine,2020,Yes,Political Stability,2022,Placed,Finland,Siemens,146625,3.03,Study Permit,Blue Card,Duolingo,7.2
S00405,Finland,Canada,Vancouver,Simon Fraser University,Economics,Business,2019,Yes,Higher Ranking,2022,Placed,Canada,Microsoft,78011,3.9,J1,PSW,IELTS,7.5
S00406,USA,Ireland,Dublin,Dublin City University,Data Science,Law,2021,No,Scholarship,2023,Placed,Ireland,Deloitte,131718,3.38,Student Visa,Blue Card,Duolingo,7.6
S00407,USA,India,Bangalore,IISc Bangalore,Law,Natural Sciences,2020,Yes,Political Stability,2022,Placed,India,IBM,48860,2.8,Study Permit,Post-Study Visa,IELTS,6.5
S00408,UAE,South Africa,Grahamstown,Rhodes University,Design,Social Sciences,2022,No,Political Stability,2023,Not Placed,N/A,N/A,0,2.92,F1,PSW,Duolingo,5.1
S00409,UK,India,Delhi,IIT Delhi,Biotechnology,Engineering,2021,No,Quality of Life,2023,Placed,India,Google,82036,3.78,Schengen Student Visa,OPT,None,0
S00410,Germany,South Africa,Johannesburg,University of the Witwatersrand,Mechanical Engineering,Engineering,2019,No,Political Stability,2021,Not Placed,N/A,N/A,0,4,Study Permit,Work Permit,IELTS,8
S00411,USA,Ireland,Dublin,Trinity College Dublin,Finance,Law,2022,Yes,Political Stability,2023,Placed,Ireland,Goldman Sachs,75520,3.94,Schengen Student Visa,Blue Card,TOEFL,7.7
S00412,Russia,Canada,London,Western University,Finance,Law,2019,Yes,Quality of Life,2021,Not Placed,N/A,N/A,0,2.64,J1,Work Permit,TOEFL,6.8
S00413,USA,Russia,Moscow,Bauman Moscow State Technical University,Architecture,Arts,2023,No,Quality of Life,2024,Not Placed,N/A,N/A,0,2.69,Schengen Student Visa,Blue Card,IELTS,7.4
S00414,Finland,Russia,Moscow,Higher School of Economics,Civil Engineering,Law,2022,No,Political Stability,2024,Not Placed,N/A,N/A,0,3.67,Schengen Student Visa,Blue Card,IELTS,7.9
S00415,USA,Ireland,Galway,National University of Ireland Galway,Economics,Social Sciences,2019,Yes,Higher Ranking,2020,Not Placed,N/A,N/A,0,3.89,Tier 4,Post-Study Visa,PTE,8.8
S00416,Germany,India,Chennai,IIT Madras,Biotechnology,Law,2022,Yes,Quality of Life,2025,Not Placed,N/A,N/A,0,2.8,Student Visa,Post-Study Visa,TOEFL,7.7
S00417,UK,UAE,Dubai,Middlesex University Dubai,Architecture,Social Sciences,2021,No,Quality of Life,2023,Placed,UAE,Intel,105543,3.08,Study Permit,Post-Study Visa,Duolingo,6.8
S00418,Finland,USA,Los Angeles,UCLA,Medicine,Social Sciences,2020,No,Quality of Life,2023,Not Placed,N/A,N/A,0,3.46,Study Permit,Post-Study Visa,Duolingo,8.9
S00419,UAE,Germany,Berlin,Humboldt University,Data Science,Natural Sciences,2021,Yes,Scholarship,2023,Placed,Germany,Goldman Sachs,60048,2.81,F1,Post-Study Visa,IELTS,5.7
S00420,Germany,India,Chennai,IIT Madras,Business Administration,Arts,2020,Yes,Political Stability,2021,Placed,India,Google,90473,3.54,Schengen Student Visa,Work Permit,IELTS,8.6
S00421,India,South Africa,Stellenbosch,Stellenbosch University,Civil Engineering,Law,2019,No,Quality of Life,2020,Not Placed,N/A,N/A,0,3.82,Student Visa,PSW,Duolingo,8.1
S00422,Ireland,India,Delhi,IIT Delhi,Computer Science,Business,2023,Yes,Higher Ranking,2026,Placed,India,McKinsey,76943,2.68,Student Visa,Work Permit,None,0
S00423,Germany,South Africa,Durban,University of KwaZulu-Natal,Computer Science,Arts,2019,No,Quality of Life,2022,Not Placed,N/A,N/A,0,3.81,Student Visa,Post-Study Visa,None,0
S00424,UAE,Finland,Tampere,Tampere University,Business Administration,Business,2019,Yes,Higher Ranking,2022,Placed,Finland,Intel,131515,2.58,Student Visa,PSW,Duolingo,8.2
S00425,UK,Canada,Montreal,McGill University,Political Science,Social Sciences,2020,No,Political Stability,2023,Not Placed,N/A,N/A,0,3.41,Tier 4,PSW,IELTS,5.2
S00426,UAE,Russia,Moscow,Lomonosov Moscow State University,Electrical Engineering,Law,2021,Yes,Higher Ranking,2022,Not Placed,N/A,N/A,0,3.68,F1,OPT,PTE,8.7
S00427,UAE,Finland,Espoo,Aalto University,Business Administration,Computer Science,2023,Yes,Higher Ranking,2024,Placed,Finland,Goldman Sachs,38725,3.49,J1,PSW,Duolingo,7.2
S00428,Ireland,Canada,Vancouver,University of British Columbia,Architecture,Business,2019,No,Job Opportunities,2020,Placed,Canada,Deloitte,52962,3.86,Student Visa,OPT,Duolingo,6.4
S00429,Finland,USA,New York,NYU,Law,Social Sciences,2020,No,Quality of Life,2023,Not Placed,N/A,N/A,0,2.56,F1,Blue Card,IELTS,6.5
S00430,UAE,India,Pilani,BITS Pilani,Political Science,Natural Sciences,2022,Yes,Job Opportunities,2025,Placed,India,Goldman Sachs,128681,3.43,F1,OPT,PTE,6.6
S00431,India,UK,Birmingham,University of Birmingham,Architecture,Engineering,2023,Yes,Higher Ranking,2025,Not Placed,N/A,N/A,0,3.02,Schengen Student Visa,Post-Study Visa,IELTS,7.9
S00432,Germany,India,Tiruchirappalli,NIT Trichy,Electrical Engineering,Engineering,2020,Yes,Political Stability,2023,Not Placed,N/A,N/A,0,3.89,F1,PSW,None,0
S00433,India,UAE,Abu Dhabi,Zayed University,Economics,Natural Sciences,2022,No,Quality of Life,2025,Not Placed,N/A,N/A,0,3.94,F1,OPT,Duolingo,5.9
